Time(s),X(m),Y(m),Z(m),Vx(m/s),Vy(m/s),Vz(m/s),Roll(rad),Pitch(rad),Yaw(rad),Mass(kg),Thrust(N),Mach,Altitude(m)
0.000000,0.000000,100.000000,0.000000,200.000000,50.000000,0.000000,0.000000,0.200000,0.000000,500.000000,0.000000,0.606500,100.000000
0.010000,1.999820,100.499094,0.000000,199.982046,49.909401,0.000000,0.000000,0.199963,0.000000,499.746835,25.284410,0.606387,100.499094
0.020000,3.999467,100.997282,0.000000,199.964614,49.818820,0.000000,0.000000,0.199997,0.000062,499.493671,50.504727,0.606276,100.997282
0.030000,5.998944,101.494565,-0.000000,199.947709,49.728237,-0.000008,0.000000,0.200104,0.000184,499.240506,75.660952,0.606167,101.494565
0.040000,7.998257,101.990941,-0.000000,199.931335,49.637634,-0.000031,0.000000,0.200282,0.000367,498.987342,100.753084,0.606060,101.990941
0.050000,9.997412,102.486411,-0.000001,199.915495,49.546994,-0.000077,0.000000,0.200533,0.000609,498.734177,125.781125,0.605954,102.486411
0.060000,11.996414,102.980974,-0.000003,199.900194,49.456299,-0.000153,0.000000,0.200858,0.000909,498.481013,150.745073,0.605849,102.980974
0.070000,13.995268,103.474629,-0.000005,199.885435,49.365530,-0.000267,0.000000,0.201256,0.001268,498.227848,175.644929,0.605746,103.474629
0.080000,15.993981,103.967376,-0.000010,199.871223,49.274668,-0.000424,0.000000,0.201730,0.001683,497.974684,200.480692,0.605645,103.967376
0.090000,17.992556,104.459213,-0.000016,199.857561,49.183696,-0.000632,0.000000,0.202278,0.002154,497.721519,225.252363,0.605545,104.459213
0.100000,19.991001,104.950139,-0.000025,199.844453,49.092595,-0.000897,0.000000,0.202903,0.002680,497.468354,249.959942,0.605447,104.950139
0.110000,21.989320,105.440152,-0.000037,199.831903,49.001346,-0.001226,0.000000,0.203605,0.003261,497.215190,274.603429,0.605351,105.440152
0.120000,23.987519,105.929252,-0.000053,199.819915,48.909931,-0.001624,0.000000,0.204384,0.003895,496.962025,299.182823,0.605256,105.929252
0.130000,25.985604,106.417435,-0.000074,199.808493,48.818330,-0.002098,0.000000,0.205243,0.004581,496.708861,323.698125,0.605162,106.417435
0.140000,27.983580,106.904700,-0.000101,199.797641,48.726524,-0.002653,0.000000,0.206182,0.005319,496.455696,348.149335,0.605071,106.904700
0.150000,29.981454,107.391045,-0.000134,199.787362,48.634495,-0.003295,0.000000,0.207201,0.006107,496.202532,372.536452,0.604981,107.391045
0.160000,31.979230,107.876467,-0.000174,199.777661,48.542222,-0.004029,0.000000,0.208304,0.006944,495.949367,396.859478,0.604892,107.876467
0.170000,33.976916,108.360964,-0.000223,199.768542,48.449686,-0.004860,0.000000,0.209489,0.007831,495.696203,421.118411,0.604805,108.360964
0.180000,35.974516,108.844533,-0.000281,199.760008,48.356866,-0.005792,0.000000,0.210760,0.008764,495.443038,445.313251,0.604720,108.844533
0.190000,37.972037,109.327170,-0.000349,199.752064,48.263744,-0.006832,0.000000,0.212117,0.009744,495.189873,469.443999,0.604636,109.327170
0.200000,39.969484,109.808873,-0.000429,199.744713,48.170297,-0.007983,0.000000,0.213563,0.010770,494.936709,493.510655,0.604554,109.808873
0.210000,41.966863,110.289638,-0.000521,199.737960,48.076505,-0.009250,0.000000,0.215097,0.011840,494.683544,517.513219,0.604473,110.289638
0.220000,43.964181,110.769462,-0.000628,199.731808,47.982347,-0.010636,0.000000,0.216723,0.012953,494.430380,541.451690,0.604394,110.769462
0.230000,45.961444,111.248340,-0.000749,199.726261,47.887802,-0.012146,0.000000,0.218441,0.014109,494.177215,565.326070,0.604316,111.248340
0.240000,47.958657,111.726268,-0.000887,199.721324,47.792847,-0.013782,0.000000,0.220255,0.015306,493.924051,589.136356,0.604240,111.726268
0.250000,49.955827,112.203243,-0.001042,199.717000,47.697461,-0.015550,0.000000,0.222164,0.016543,493.670886,612.882551,0.604166,112.203243
0.260000,51.952960,112.679259,-0.001217,199.713293,47.601620,-0.017451,0.000000,0.224172,0.017819,493.417722,636.564653,0.604093,112.679259
0.270000,53.950062,113.154312,-0.001412,199.710207,47.505302,-0.019490,0.000000,0.226281,0.019133,493.164557,660.182663,0.604022,113.154312
0.280000,55.947140,113.628397,-0.001629,199.707746,47.408484,-0.021668,0.000000,0.228493,0.020484,492.911392,683.736581,0.603952,113.628397
0.290000,57.944199,114.101508,-0.001868,199.705914,47.311141,-0.023988,0.000000,0.230809,0.021871,492.658228,707.226406,0.603884,114.101508
0.300000,59.941246,114.573641,-0.002133,199.704714,47.213249,-0.026453,0.000000,0.233232,0.023292,492.405063,730.652139,0.603818,114.573641
0.310000,61.938287,115.044789,-0.002424,199.704151,47.114783,-0.029066,0.000000,0.235766,0.024747,492.151899,754.013780,0.603753,115.044789
