Time(s),X(m),Y(m),Z(m),Vx(m/s),Vy(m/s),Vz(m/s),Roll(rad),Pitch(rad),Yaw(rad),Mass(kg),Thrust(N),Mach,Altitude(m)
0.000000,0.000000,100.000000,0.000000,200.000000,50.000000,0.000000,0.000000,0.200000,0.000000,500.000000,0.000000,0.606500,100.000000
0.010000,1.999820,100.499094,0.000000,199.982046,49.909401,0.000000,0.000000,0.199963,0.000000,499.746835,25.284410,0.606387,100.499094
0.020000,3.999467,100.997282,0.000000,199.964614,49.818820,0.000000,0.000000,0.199997,0.000072,499.493671,50.504727,0.606276,100.997282
0.030000,5.998944,101.494565,-0.000000,199.947709,49.728237,-0.000009,0.000000,0.200104,0.000217,499.240506,75.660952,0.606167,101.494565
0.040000,7.998257,101.990941,-0.000000,199.931335,49.637634,-0.000036,0.000000,0.200282,0.000433,498.987342,100.753084,0.606060,101.990941
0.050000,9.997412,102.486411,-0.000001,199.915495,49.546994,-0.000091,0.000000,0.200533,0.000722,498.734177,125.781125,0.605954,102.486411
0.060000,11.996414,102.980974,-0.000003,199.900194,49.456299,-0.000181,0.000000,0.200858,0.001083,498.481013,150.745073,0.605849,102.980974
0.070000,13.995268,103.474629,-0.000006,199.885435,49.365530,-0.000316,0.000000,0.201256,0.001516,498.227848,175.644929,0.605746,103.474629
0.080000,15.993981,103.967376,-0.000011,199.871223,49.274668,-0.000504,0.000000,0.201730,0.002022,497.974684,200.480692,0.605645,103.967376
0.090000,17.992556,104.459213,-0.000019,199.857561,49.183696,-0.000754,0.000000,0.202278,0.002600,497.721519,225.252363,0.605545,104.459213
0.100000,19.991001,104.950139,-0.000030,199.844453,49.092595,-0.001074,0.000000,0.202903,0.003250,497.468354,249.959942,0.605447,104.950139
0.110000,21.989320,105.440152,-0.000044,199.831904,49.001346,-0.001473,0.000000,0.203605,0.003972,497.215190,274.603429,0.605351,105.440152
0.120000,23.987519,105.929252,-0.000064,199.819916,48.909931,-0.001958,0.000000,0.204384,0.004766,496.962025,299.182823,0.605256,105.929252
0.130000,25.985604,106.417435,-0.000089,199.808495,48.818330,-0.002538,0.000000,0.205243,0.005633,496.708861,323.698125,0.605163,106.417435
0.140000,27.983580,106.904700,-0.000122,199.797644,48.726525,-0.003220,0.000000,0.206182,0.006572,496.455696,348.149335,0.605071,106.904700
0.150000,29.981454,107.391045,-0.000162,199.787367,48.634496,-0.004013,0.000000,0.207201,0.007584,496.202532,372.536452,0.604981,107.391045
0.160000,31.979231,107.876467,-0.000211,199.777669,48.542224,-0.004925,0.000000,0.208304,0.008668,495.949367,396.859478,0.604892,107.876467
0.170000,33.976916,108.360964,-0.000271,199.768553,48.449688,-0.005962,0.000000,0.209489,0.009824,495.696203,421.118411,0.604805,108.360964
0.180000,35.974516,108.844533,-0.000342,199.760023,48.356870,-0.007132,0.000000,0.210760,0.011052,495.443038,445.313251,0.604720,108.844533
0.190000,37.972037,109.327170,-0.000426,199.752084,48.263749,-0.008443,0.000000,0.212117,0.012353,495.189873,469.443999,0.604636,109.327170
0.200000,39.969485,109.808873,-0.000525,199.744740,48.170303,-0.009902,0.000000,0.213563,0.013726,494.936709,493.510655,0.604554,109.808873
0.210000,41.966865,110.289639,-0.000640,199.737995,48.076514,-0.011516,0.000000,0.215097,0.015171,494.683544,517.513219,0.604473,110.289639
0.220000,43.964183,110.769462,-0.000773,199.731853,47.982358,-0.013292,0.000000,0.216723,0.016689,494.430380,541.451690,0.604394,110.769462
0.230000,45.961446,111.248340,-0.000926,199.726319,47.887816,-0.015237,0.000000,0.218441,0.018280,494.177215,565.326070,0.604316,111.248340
0.240000,47.958660,111.726269,-0.001099,199.721397,47.792865,-0.017357,0.000000,0.220254,0.019942,493.924051,589.136356,0.604241,111.726269
0.250000,49.955831,112.203244,-0.001296,199.717091,47.697484,-0.019659,0.000000,0.222164,0.021677,493.670886,612.882551,0.604166,112.203244
0.260000,51.952965,112.679260,-0.001517,199.713407,47.601649,-0.022150,0.000000,0.224172,0.023485,493.417722,636.564653,0.604094,112.679260
0.270000,53.950069,113.154314,-0.001766,199.710347,47.505338,-0.024836,0.000000,0.226281,0.025365,493.164557,660.182663,0.604022,113.154314
0.280000,55.947148,113.628399,-0.002043,199.707917,47.408528,-0.027723,0.000000,0.228492,0.027318,492.911392,683.736581,0.603953,113.628399
0.290000,57.944209,114.101511,-0.002351,199.706122,47.311194,-0.030816,0.000000,0.230808,0.029343,492.658228,707.226406,0.603885,114.101511
0.300000,59.941259,114.573644,-0.002692,199.704965,47.213313,-0.034122,0.000000,0.233231,0.031440,492.405063,730.652139,0.603818,114.573644
0.310000,61.938303,115.044793,-0.003069,199.704452,47.114860,-0.037647,0.000000,0.235764,0.033610,492.151899,754.013780,0.603754,115.044793
